,text
140674,absolutely shocking footage of a russian warplanes firing missiles into a residential area in  ukraine      a child screams in terror    breaking  russiaukraine  invasion   conflict  war    
141068,   breaking   according to the center for defense strategies in ukraine  more than   russian soldiers died    ukraine  russia  russiaukrainecrisis  ukraineconflict  ukrainerussia  worldwar  
141802,cut  russia off from  swift now
142147,ukraine shot down a russian air force an    rf      russia  ukraine  war 
143013,pic    four russian soldiers captured by ukraine  pic     over a dozen ukrainian soldiers captured by russia    russiaukraineconflict 
146177, ukrainian defenders  captured  russian occupiers from unit   of the yampol  motorized rifle regiment   russianwarcrimes    putin  mass murdrer has sent those young men to killing ukrainians in ukraine  every hour  more times than the russian occupiers  they become  cargo  
146924,ukrainian brave woman arguing russian soldier in  kherson   russia  ukraine 
146965, ukrainian defenders  captured  russian occupiers from unit   of the yampol  motorized rifle regiment   russianwarcrimes    putin  mass murdrer has sent those young men to killing ukrainians in ukraine  every hour  more times than the russian occupiers  they become  cargo  
148341,please follow us at  most of us are on the ground in  kyiv working to provide you with the latest news  it s extremely stressful  no one knows where it is safe to be  or whether there will be more strikes and where  and russian troops are moving from the north  
150493,look at this brave woman who openly asks a russian soldier   why did you come to our country    this is henichesk  a port city along the sea of azov in kherson oblast of southern  ukraine  
150600,statement by the north atlantic council on russia s attack on ukraine   nato    ukraine       stoprussianaggression
150838,st  petersburg now  russia             putinisawarcriminal  russiainvadedukraine 
152661,ukraine still fighting     ukraine   ukrainewillresist   ukrainefights 
153084,  pray for  ukraine  amp  conversion of  putin  russian society but remember that  russia have it s agents who desinform in media  desinform world about for ex vacciness  covid  putin is a communist he is not conservative he don t respect  human rights   war
154625,in  novosibirsk   russia  local residents are marching in  protest against the russian invasion of  ukraine   
155660,please do not make share memes of this current situation between ukraine   russia  remember it s the innocent civilians who are suffering     russiaukraineconflict  worldwar   wwiii  ukraine  russian  russia  putin  biden  stopwar  prayingforukraine  standwithukraine 
156304,left and anarchist protestors against the war in  ukraine were detained in  moscow despite no legal permission required for such actions  repressions  anarchism 
156703, ukraine     thousands out in  tbilisi   georgia     to protest against the  kremlin s invasion 
159641,clashes now in chornobyl exclusion zone near the radioactive waste storages  via   ukraine 
166454,putin s hometown protesting his war against  ukraine  st   petersburg now   protest  putin 
168709,where the fuck are your immediate sanctions    hours since  russia attacked my country from all directions
168987,if any of the  mjfam wants to help fight disinformation re   russiaukraine conflict  please share the   of the bots if you come across them  amp  help report them  here s one  
169333,in novosibirsk   russia  people went out to the streets to protest against their leadership attacking  ukraine  some people have been detained by police  the rest soon left 
170035,remember this image  remember today feb  th    remember those who appeased putin  remember the day russia bombed  europe  town of chuhuiv  near kharkiv in eastern  ukraine  
173061,i gathered a few possibilities to help ukraine resist financially  will be updated   please spread     ukraine  helpukraine    
173505,march for  ukraine on shota rustaveli street in central tbilisi  
176109,we must now send fim   stinger missiles to  ukraine   the javelins are doing a number on russian tanks  time for their air force to feel some more pain    russia
179132,as if it were a video game  ukrainian aircraft in combat  ucrania  ukraine  ukraineconflict 
180505,we call to impose hard and deep sanctions on  russia     we call for all necessary steps to be taken to ensure that russia s aggression is met with a proper and adequate response    westandwithukraine  
182095,stop buying products  made in  russia    each of us can punish russia for invasion of  ukraine by imposing personal  embargo on russian products   if you see in your shopping cart a product with a barcode starting with    put it back on the shelf     boycottrussia  boycott  
186522,afghanistan done  ukraine almost done  next  taiwan   worldwar  
188379,despite its litany of lies  denials  and disinformation  the kremlin s intentions are clear for the world to see   nato    ukraine       stoprussianaggression
188590, standwithukraine  ukraine  ukrainerussiaconflict  ukrainerussiacrisis  ukraina   hashtags to find this thread
192296, breaking  president joe biden has been presented with a menu of options for the u s  to carry out massive cyberattacks designed to disrupt  russia s ability to sustain its military operations in  ukraine   
192565,unesco is deeply concerned about the ongoing military operations  amp  escalation of violence in  ukraine   we call for respect for int l humanitarian law  restraint from attacks on education  journalists  amp  the protection of cultural heritage in all its forms   
192825,  bit studios team statement   fuckthewar  ukraine    
193512,  bit studios team statement   fuckthewar  ukraine    
193552,  bit studios team statement   fuckthewar  ukraine    
194662,this is saint petersburg   russia  at least   people have been arrested today at anti war protests that have taken place in   russian cities  the ovd info protest monitor said  
194673,in  novosibirsk   russia  local residents are marching in  protest against the russian invasion of  ukraine   
194748,join now to hear from    and  on  russia s war  ukraine  co hosted with     
196883,russians have taken the former chornobyl power plant  with one of the world s biggest storages of radioactive waste  the personnel is taken hostage     standwithukraine  ukraineunderattack  europeunderattack  chernobyl
198147,soviets are arresting those russians who do not agree with terroristic attack of  putin on  ukraine 
199689,putin is hitler says poster  demonstration in moscow    ukraine  ukraina  russiaukraineconflict  ukrainerussie  valimai  russia  ukrainerussiacrisis 
207966,  canada is terminating all export permits to  russia and canceling existing permits 
210470,this is moscow   russia  people went out to the streets protesting against the war and russian invasion in  ukraine  according to human rights defenders  more than   people have been detained so far for protests in russia  their number will most certainly grow 
